id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
19988054,Les Garçons sauvages,2017-09-09,667,6005,109,1243,105,100,186,296,481,869,1438,1378,653,280
8367622,Le Passé,2013-05-17,677,2679,169,1005,19,43,108,236,487,1150,1900,1420,359,69
17379659,Bienvenue à Marwen,2018-11-21,652,3783,103,1089,9,34,106,283,709,1491,1920,977,225,48
399477,Les Dix Commandements,1956-10-05,715,1947,55,959,15,24,44,143,455,1059,1941,1348,496,278
487259,Basketball Diaries,1995-04-21,688,3366,24,899,10,18,46,165,413,1176,2078,1354,410,134
402248,L'Homme qui tua Don Quichotte,,651,6721,121,1228,37,68,144,309,626,1189,1837,1201,293,101
13231839,Nos pires voisins 2,2016-05-13,487,650,58,570,123,294,599,1085,1594,1320,567,163,25,35
384873,"Halal, police d'État",2011-02-16,349,326,108,481,1016,1049,1033,919,761,594,286,100,25,28
29968414,Jumanji : Next Level,2019-12-13,533,705,92,751,93,172,366,763,1436,1747,879,219,58,83
370578,La Rose pourpre du Caire,1985-03-01,738,2892,39,1150,10,14,29,99,252,744,1864,1875,719,212
26368227,Oxygène,2021-05-12,581,1363,126,821,55,100,231,527,1111,1826,1523,371,58,18
12533874,Colonia,2016-02-18,682,3159,96,712,13,15,44,155,411,1114,2248,1320,385,126
426297,Les Chiens de paille,1971-11-03,764,4404,111,1178,21,22,35,85,210,593,1610,2112,869,279
15121175,Jack Reacher : Never Go Back,2016-10-19,489,743,145,647,82,265,671,1062,1616,1360,604,133,29,24
389462,Marathon Man,1976-10-08,739,2951,75,971,8,10,27,75,236,738,2123,2003,505,125
17512056,Sicario La Guerre des cartels,2018-06-29,643,2144,106,839,13,32,107,280,713,1800,2065,681,128,32
484957,High School Musical 2,2007-08-17,362,211,25,420,898,840,902,874,832,689,471,197,60,95
368867,Le Tour du monde en 80 jours,2004-06-13,480,349,38,390,161,319,657,1088,1430,1276,683,179,35,31
433349,Baby-sittor,2005-03-04,401,260,32,318,483,768,952,1136,1127,795,414,118,25,41
488609,Crazy Night,2010-05-12,529,602,90,412,74,204,407,895,1575,1701,787,177,28,15
405784,Repo Men,2010-07-14,591,1071,115,852,59,113,235,584,1045,1690,1447,557,110,28
493598,Baisers volés,1968-09-04,730,2103,47,1049,10,13,29,87,254,783,2031,1826,603,232
10902243,Strictly Criminal,2015-09-17,607,2465,140,757,21,52,139,389,988,1937,1717,528,75,29
364353,"Mange, prie, aime",2010-08-13,509,978,120,556,180,296,534,820,1188,1318,907,430,130,74
416405,Au nom du père,1993-12-27,779,4327,56,998,8,3,15,38,99,435,1520,2514,977,268
480753,The Fall,2008-01-03,746,6476,122,1107,12,26,72,134,254,697,1464,1838,946,439
380965,Dangereusement vôtre,1985-05-24,594,700,80,929,26,70,178,495,1247,2052,1319,392,71,36
